nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
St. Louis Blues,1996,36,35,43.90%,,236,239,-3.0
Tampa Bay Lightning,1996,32,40,39.00%,,217,247,-30.0
Toronto Maple Leafs,1996,30,44,36.60%,,230,273,-43.0
Vancouver Canucks,1996,35,40,42.70%,,257,273,-16.0
Washington Capitals,1996,33,40,40.20%,,214,231,-17.0
Mighty Ducks of Anaheim,1997,26,43,31.70%,,205,261,-56.0
Boston Bruins,1997,39,30,47.60%,,221,194,27.0
Buffalo Sabres,1997,36,29,43.90%,,211,187,24.0
Calgary Flames,1997,26,41,31.70%,,217,252,-35.0
Carolina Hurricanes,1997,33,41,40.20%,,200,219,-19.0
Chicago Blackhawks,1997,30,39,36.60%,,192,199,-7.0
Colorado Avalanche,1997,39,26,47.60%,,231,205,26.0
Dallas Stars,1997,49,22,59.80%,,242,167,0.598
Detroit Red Wings,1997,44,23,53.70%,,250,196,0.537
Edmonton Oilers,1997,35,37,42.70%,,215,224,-9.0
Florida Panthers,1997,24,43,29.30%,,203,256,-53.0
Los Angeles Kings,1997,38,33,46.30%,,227,225,2.0
Montreal Canadiens,1997,37,32,45.10%,,235,208,27.0
New Jersey Devils,1997,48,23,58.50%,,225,166,0.585
New York Islanders,1997,30,41,36.60%,,212,225,-13.0
New York Rangers,1997,25,39,30.50%,,197,231,-34.0
Ottawa Senators,1997,34,33,41.50%,,193,200,-7.0
Philadelphia Flyers,1997,42,29,51.20%,,242,193,0.512
Phoenix Coyotes,1997,35,35,42.70%,,224,227,-3.0
Pittsburgh Penguins,1997,40,24,48.80%,,228,188,40.0
San Jose Sharks,1997,34,38,41.50%,,210,216,-6.0
St. Louis Blues,1997,45,29,54.90%,,256,204,0.549
Tampa Bay Lightning,1997,17,55,20.70%,,151,269,-118.0
Toronto Maple Leafs,1997,30,43,36.60%,,194,237,-43.0
Vancouver Canucks,1997,25,43,30.50%,,224,273,-49.0
Washington Capitals,1997,40,30,48.80%,,219,202,17.0
Mighty Ducks of Anaheim,1998,35,34,42.70%,,215,206,9.0
Boston Bruins,1998,39,30,47.60%,,214,181,33.0
Buffalo Sabres,1998,37,28,45.10%,,207,175,32.0
Calgary Flames,1998,30,40,36.60%,,211,234,-23.0
Carolina Hurricanes,1998,34,30,41.50%,,210,202,8.0
Chicago Blackhawks,1998,29,41,35.40%,,202,248,-46.0
Colorado Avalanche,1998,44,28,53.70%,,239,205,0.537
Dallas Stars,1998,51,19,62.20%,,236,168,0.622
Detroit Red Wings,1998,43,32,52.40%,,245,202,0.524
Edmonton Oilers,1998,33,37,40.20%,,230,226,4.0
Florida Panthers,1998,30,34,36.60%,,210,228,-18.0
Los Angeles Kings,1998,32,45,39.00%,,189,222,-33.0
Montreal Canadiens,1998,32,39,39.00%,,184,209,-25.0
Nashville Predators,1998,28,47,34.10%,,190,261,-71.0
New Jersey Devils,1998,47,24,57.30%,,248,196,0.573
New York Islanders,1998,24,48,29.30%,,194,244,-50.0
New York Rangers,1998,33,38,40.20%,,217,227,-10.0
Ottawa Senators,1998,44,23,53.70%,,239,179,0.537
Philadelphia Flyers,1998,37,26,45.10%,,231,196,35.0
Phoenix Coyotes,1998,39,31,47.60%,,205,197,8.0
Pittsburgh Penguins,1998,38,30,46.30%,,242,225,17.0
San Jose Sharks,1998,31,33,37.80%,,196,191,5.0
St. Louis Blues,1998,37,32,45.10%,,237,209,28.0
Tampa Bay Lightning,1998,19,54,23.20%,,179,292,-113.0
Toronto Maple Leafs,1998,45,30,54.90%,,268,231,0.549
Vancouver Canucks,1998,23,47,28.00%,,192,258,-66.0
Washington Capitals,1998,31,45,37.80%,,200,218,-18.0
Mighty Ducks of Anaheim,1999,34,33,41.50%,3,217,227,-10.0
Atlanta Thrashers,1999,14,57,17.10%,4,170,313,-143.0
Boston Bruins,1999,24,33,29.30%,6,210,248,-38.0
Buffalo Sabres,1999,35,32,42.70%,4,213,204,9.0
Calgary Flames,1999,31,36,37.80%,5,211,256,-45.0
Carolina Hurricanes,1999,37,35,45.10%,0,217,216,1.0
Chicago Blackhawks,1999,33,37,40.20%,2,242,245,-3.0
Colorado Avalanche,1999,42,28,51.20%,1,233,201,0.512
Dallas Stars,1999,43,23,52.40%,6,211,184,0.524
Detroit Red Wings,1999,48,22,58.50%,2,278,210,0.585
Edmonton Oilers,1999,32,26,39.00%,8,226,212,14.0
Florida Panthers,1999,43,27,52.40%,6,244,209,0.524
Los Angeles Kings,1999,39,27,47.60%,4,245,228,17.0
Montreal Canadiens,1999,35,34,42.70%,4,196,194,2.0
Nashville Predators,1999,28,40,34.10%,7,199,240,-41.0
New Jersey Devils,1999,45,24,54.90%,5,251,203,0.549
New York Islanders,1999,24,48,29.30%,1,194,275,-81.0
New York Rangers,1999,29,38,35.40%,3,218,246,-28.0
Ottawa Senators,1999,41,28,50.00%,2,244,210,0.5
Philadelphia Flyers,1999,45,22,54.90%,3,237,179,0.549
Phoenix Coyotes,1999,39,31,47.60%,4,232,228,4.0
Pittsburgh Penguins,1999,37,31,45.10%,6,241,236,5.0
San Jose Sharks,1999,35,30,42.70%,7,225,214,11.0
St. Louis Blues,1999,51,19,62.20%,1,248,165,0.622
Tampa Bay Lightning,1999,19,47,23.20%,7,204,310,-106.0
